Overriding config with config/finetune_tt7_5k.py:
import time

out_dir = 'out-shakespeare-char-4l8h-ft'
eval_interval = 250
eval_iters = 200
log_inerval = 10

wandb_log = False # feel free to turn on
wandb_project = 'ft7_5k-char'
wandb_run_name = 'ft-' + str(time.time())

dataset = 'tt_7_5k'
init_from = 'resume' # this is the largest GPT-2 model

# only save checkpoints if the validation loss improves
always_save_checkpoint = True

# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 64
gradient_accumulation_steps = 1
max_iters = 7500
block_size = 256

# finetune at constant LR
learning_rate = 1e-3
lr_decay_iters = 7500

min_lr = 1e-4
beta2 = 0.99

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/tt_7_5k/meta.pkl)
Resuming training from out-shakespeare-char-4l8h-ft
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 2334: loss 1.5234, time 71.82ms, mfu 3.50%
iter 2335: loss 1.5317, time 69.58ms, mfu 3.51%
iter 2336: loss 1.4589, time 72.31ms, mfu 3.50%
iter 2337: loss 1.4744, time 69.79ms, mfu 3.51%
iter 2338: loss 1.4575, time 71.58ms, mfu 3.50%
iter 2339: loss 1.4222, time 69.98ms, mfu 3.51%
iter 2340: loss 1.4535, time 71.57ms, mfu 3.50%
iter 2341: loss 1.4548, time 69.80ms, mfu 3.51%
iter 2342: loss 1.4536, time 71.98ms, mfu 3.51%
iter 2343: loss 1.4534, time 69.73ms, mfu 3.51%
iter 2344: loss 1.4267, time 71.66ms, mfu 3.51%
iter 2345: loss 1.4694, time 69.95ms, mfu 3.51%
iter 2346: loss 1.4574, time 71.98ms, mfu 3.51%
iter 2347: loss 1.4610, time 69.49ms, mfu 3.51%
iter 2348: loss 1.4648, time 72.20ms, mfu 3.51%
iter 2349: loss 1.4503, time 69.14ms, mfu 3.52%
iter 2350: loss 1.4274, time 72.54ms, mfu 3.51%
iter 2351: loss 1.4484, time 70.64ms, mfu 3.51%
iter 2352: loss 1.4970, time 72.28ms, mfu 3.50%
iter 2353: loss 1.4554, time 71.06ms, mfu 3.50%
iter 2354: loss 1.4700, time 71.95ms, mfu 3.50%
iter 2355: loss 1.4430, time 70.49ms, mfu 3.50%
iter 2356: loss 1.4448, time 69.79ms, mfu 3.51%
iter 2357: loss 1.4176, time 69.74ms, mfu 3.51%
iter 2358: loss 1.4906, time 72.22ms, mfu 3.51%
iter 2359: loss 1.4383, time 69.98ms, mfu 3.51%
iter 2360: loss 1.4007, time 72.34ms, mfu 3.50%
iter 2361: loss 1.4425, time 70.04ms, mfu 3.51%
iter 2362: loss 1.4634, time 72.40ms, mfu 3.50%
iter 2363: loss 1.4072, time 70.22ms, mfu 3.50%
iter 2364: loss 1.4807, time 71.97ms, mfu 3.50%
iter 2365: loss 1.4596, time 69.39ms, mfu 3.51%
iter 2366: loss 1.4021, time 72.13ms, mfu 3.50%
iter 2367: loss 1.4018, time 70.03ms, mfu 3.51%
iter 2368: loss 1.4240, time 71.56ms, mfu 3.50%
iter 2369: loss 1.4833, time 69.94ms, mfu 3.51%
iter 2370: loss 1.4537, time 71.97ms, mfu 3.50%
iter 2371: loss 1.4809, time 70.55ms, mfu 3.51%
iter 2372: loss 1.4159, time 72.09ms, mfu 3.50%
iter 2373: loss 1.4332, time 69.04ms, mfu 3.51%
iter 2374: loss 1.4596, time 72.09ms, mfu 3.50%
iter 2375: loss 1.4481, time 69.88ms, mfu 3.51%
iter 2376: loss 1.4225, time 72.67ms, mfu 3.50%
iter 2377: loss 1.4528, time 70.33ms, mfu 3.50%
iter 2378: loss 1.4421, time 70.73ms, mfu 3.51%
iter 2379: loss 1.4099, time 69.31ms, mfu 3.51%
iter 2380: loss 1.3871, time 72.05ms, mfu 3.51%
iter 2381: loss 1.4552, time 69.37ms, mfu 3.52%
iter 2382: loss 1.4494, time 69.53ms, mfu 3.52%
iter 2383: loss 1.3486, time 73.23ms, mfu 3.51%
iter 2384: loss 1.4088, time 73.74ms, mfu 3.50%
iter 2385: loss 1.4331, time 70.28ms, mfu 3.50%
iter 2386: loss 1.4189, time 71.93ms, mfu 3.50%
iter 2387: loss 1.4004, time 70.45ms, mfu 3.50%
iter 2388: loss 1.4272, time 70.38ms, mfu 3.50%
iter 2389: loss 1.4165, time 69.64ms, mfu 3.51%
iter 2390: loss 1.4006, time 72.66ms, mfu 3.50%
iter 2391: loss 1.3962, time 69.64ms, mfu 3.51%
iter 2392: loss 1.4222, time 72.67ms, mfu 3.50%
iter 2393: loss 1.3374, time 70.35ms, mfu 3.50%
iter 2394: loss 1.3705, time 71.46ms, mfu 3.50%
iter 2395: loss 1.3930, time 71.07ms, mfu 3.50%
iter 2396: loss 1.4180, time 71.51ms, mfu 3.50%
iter 2397: loss 1.3579, time 69.81ms, mfu 3.50%
iter 2398: loss 1.3778, time 71.96ms, mfu 3.50%
iter 2399: loss 1.4520, time 75.30ms, mfu 3.48%
